"Tipo del piso	"	"m2	"	"Dormitorios	"	"Baños	"	"€/m2	"	"Precio	"	"Enlace Web	"
"piso	"	"95	"	"3	"	"2	"	"4631	"	"440m	"	"http://rd.nestoria.es/rd?itype=2&l=VaeKZSucbudSdVOun&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDemu-ced_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOhBDDYlPNVF5rNubg11bkCYzKZwBlYrKuUnoqgEDyvQAU0gWjNiAXvEnkbS12_VKU88vRr6HYgrhxD2eLhmItSWzaf2BnP1AjZkqBGe2MXD_GSP-F8yfCpMptwnetxdmCdVFLM4vGI6Ac4ZyAyvqIOnwUvqrk9aI3WxJRKfXtsUuYCWVxkr3T8BmODFyNSqJK2V1v7Fqh94tipWLbNCjsK0IiSAxlRPjAB5DfwDNSlPwGmjfbYmBQNQyOp9Fom6O94fgDQWgJjS17mPpew23tKQGqfoZlsI1noqlUvsg2lopnYkN0rQ2A-MjIKU4-fxwf9H57Ht0d8xHGU7HOLw%3D%3D&v=2	"
"piso	"	"105	"	"3	"	"1	"	"3800	"	"399m	"	"http://rd.nestoria.es/rd?itype=2&l=WceWle6on6pepha65&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDemu-ced_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRtHihDDYlPNVF5qMujg11bkCYzKZwBlYrKuUnoqgEDyvQcZ2wWjNiAXvEnkbS12_VKU88vRr6HYgrhxD2eLhmItSWzaf2BvOgh8dhXQF7ycHSfeW_aQ6ifBrMxm2HKxx92BclJGJpXGevAFscqAmKyUPjJLq_K89fsoFBhZP_36vEGVTmcwnP3dsBeRE02NBqAL3EZr4WC7u4RtpWXUaynoNU4pRUxiS7rcDJ_GwA4PyJAHkjHaYWRVNQWEoJUjg4ij0f4eV39XhnVmieZYxX6iPVOyVYZfuYF2puFY5Ns0g45kbFU9ql-Y08b2J18yZhoYrn4jA8wB9RfVGK0%3D&v=2	"
"piso	"	"105	"	"2	"	"1	"	"3761	"	"395m	"	"http://rd.nestoria.es/rd?itype=2&l=VWeGVOqYXqZOZRKqhk&s=&url=2-ePz73aTBU4LVGFByDI494Ner8aIMqOqmnnO6u50s2qDemu-ced_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpPhRzDYlPNVF5rMuvg11bkCYzKZwBlYrKuUnoqgEDyvQcZ1wWjNiAXvEnkbS12_VKU88vRr6HYg7hxD2eLhmItSWzaf2BvOgh8dhXQF7ycHSfeW_aQ6ifApMpk23qxxNiJcVNKJZ_GevAFscqAmKyUPjJLq_K89fsoFBhZP_36vEGVTmcwnP3dsBeRE02NBqALyFpo4iim-Mxh6XXWfCbiN0BoTQ1mULLLBZj1nWQLwZMCmjXSYGlWM0HC8r8kgaKi3e5RWn8ZnH9nlOgM2WvpF0q6boJPsNVirK5c5Mg1i50mdlN2gEiU4dX2I0g9MhMT4GQpAtEPpQM%3D&v=2	"
"piso	"	"85	"	"3	"	"2	"	"4517	"	"384m	"	"http://rd.nestoria.es/rd?itype=2&l=WdeXmf7po7qfqib71&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDdmu-ced_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRtHgxvDYlPNVF5rOuvg11bkCYzKZwBlYrKwRWQWhxeh81AC2AS_JHwD-W_UHTV47BjPrJaSof3W9MMTHWmF1n4rXnraf2BtJA0hZhuPSPeVGyfeW_-dqiTX4NZ3nCG-ycqAeEtPJJTSZ-VB7pCVlbfIcnMCs_Gx9_4zGEoaNeD6rRjWCHFpiLzY_haXClycC7tHllB04Cqg-Yxz-mbHNDrkKk5qQQ0mR7bbCpjGyj9f3spdz3SOMD0BUwKFqNdn3uXjjbtZAy9VnWR4ovpF2W3nLRqxb5hOsppqqvpM98QOiYpkalJ24kqS_sDwK0s8fVsD530ZE9kD9x_dXb7RPDjFEtJMWI89aQ%3D%3D&v=2	"
"piso	"	"90	"	"2	"	"2	"	"3888	"	"350m	"	"http://rd.nestoria.es/rd?itype=2&l=UVe7KDfNMfODOG.fWV&s=&url=2-ePz73aTBU4LVGFByDI494Ner8aIMqOqmnnO6u50s2qDemu-ced_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOhhzDYlPNVF5rNOrg11bkCYzKZwBlYrKuUnoqgEDyvQcV0gWjNiAXvEnkbS12_VKU88vRr6HYg7hxD2eLhmItSWzaf2BnOlAjZkqBGe2MXD_GSP-F9iPDqMtl3W-qwtiJcFVLIYXIdKcCr4SYgOaIPjYBvvLk9ftxUhFaNODvvk6QRih9kP-f_BuTDk-eFf9W0UB0oGCtu4Ni-mTQdSXjOA4uSg5-QLXFDKKelGYMwZMClDTdY2VUM0HC8r8kgaKi3e5RWn8ZnH9nlOgM2WvpF0q6boJPsNVirK5c5Mg1i50mdlN2gEiU4dX2I0g9MhMT4GQpAtEPpQM%3D&v=2	"
"piso	"	"90	"	"3	"	"1	"	"3555	"	"320m	"	"http://rd.nestoria.es/rd?itype=2&l=WceWle6on6pepha6xx&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDemu-ced_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOgxDDYlPNVF5qN-zg11bkCYzKZwBlYrKuUnoqgEDyvQcS0gWjNiAXvEnkbS12_VKU88vRr6HYgrhxD2eLhmItSWzaf2BnOlAjZkqBGe2MXD_GSP-F9iLFrs1l3G-qy9qBd1VNI4XIdKcCr4SYgOaIPjYBvvLk9ftxUhFaNODvvk6QRih9kP-f_BuTDk-eFf9W0UB0oGCtu4Ni-mTQdSXjOA4uSg5-QLXFDKKflGYOwZIElDPcYmdbeUDbwJM4m6Wz27YCUWkeh2J8nK9f2HLbJUK7Y55X4Ilkuble4s0-lsl1d0pEvEqY_MT-LUFuYRgF5380GdlM-g%3D%3D&v=2	"
"piso	"	"38	"	"1	"	"1	"	"4078	"	"155m	"	"http://rd.nestoria.es/rd?itype=2&l=VXeHWPrZYraPaSLrm&s=&url=2-ePz73aTBU4LVGFByDI4-4Ner8aIMqOqmnnO6u50s2qDemu-ceN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOhBDDYlPNVF5qMujg11bkCYzKZwBlYrKuUnoqgEDyvQUV1wWjNiAXvEnkbS12_VKU88vRr6HYgLhxD2eLhmItSWzaf2BtMlAjZkqBGe2MXD_GSP-F9iDErspn32-qxt2HclFJKYXIdKcCr4SYgOaIPjYBvvLk9ftxUhFaNODvvk6QRih9kP-f_BuTDk-eFf9HyFJp-WSu84935yrQd2fvOFMkQQ9kS7aGAJPH0DRcncZskDncamFUPQOEq9di2eilyuYzR3UfmnNwwOdP32vrOk6-LJ5OsLdurrhQ9sRshYhyZkB6u0SHqtDjJ3AwbhAG8nkhHoUA4g3AVaKFM3_L&v=2	"
"piso	"	"73	"	"3	"	"1	"	"2121	"	"154m	"	"http://rd.nestoria.es/rd?itype=2&l=UXe9MFhPOhQFQIBhYa&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDemu-ceN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOixrDYlPNVF5rOu3g11bkCYzKZwBlYrKuUnoqgEDyvQUV1gyjNiAXvEnkbS12_VKU88vRr6HYgrhxD2eLhmItSWzaf2BpOVAjZkqBGe2MXD_GSP-F9iHHrsxj3G-qytuFdVNGKIXIdKcCr4SYgOaIPjYBvvLk9ftxUhFaNODvvk6QRih9kP-f_BuTDk-eFf9W0UB0oGCtu4Ni-mTQdSXjOA4uSg5-QLXFDKKbkGgMwZMCkTnSZGhdM0HC8r8kgaKi3e5RWn8ZnH9nlOgM2WvpF0q6boJPsNVirK5c5Mg1i50mdlN2gEiU4dX2I0g9MhMT4GQpAtEPpQM%3D&v=2	"
"piso	"	"78	"	"3	"	"1	"	"1643	"	"128m	"	"http://rd.nestoria.es/rd?itype=2&l=VWeGVOqYXqZOZRKqhi&s=&url=2-ePz73aTBU4LVGFByDI484Ner8aIMqOqmnnO6u50s2qDemu-ceN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOixrDYlPNVF5rOu_g11bkCYzKZwBlYrKuUnoqgEDyvQUS2gejNiAXvEnkbS12_VKU88vRr6HYgrhxD2eLhmItSWzaf2BpMlAjZkqBGe2MXD_GSP-F9iHHrsxj3G-qytuFdVBNJIXIdKcCr4SYgOaIPjYBvvLk9ftxUhFaNODvvk6QRih9kP-f_BuTDk-eFf9W0UB0oGCtu4Zx6WnadSboK1JoTQ1mULLLBZj1lGQHw5MDkzLTa2ZQNQvD640InbilzOgJCXQPm2R6j-BLimrwJXiyb49TqIU-qrtL5s4wgIByJVJvsnSW7cjnK0Y0YUAY9mMyH8oH5lzJ&v=2	"
"piso	"	"103	"	"4	"	"1	"	"1194	"	"123m	"	"http://rd.nestoria.es/rd?itype=2&l=WaeUjc4ml4ncnfY4vz&s=&url=2-ePz73aTBU4LVGFByDI474Ner8aIMqOqmnnO6u50s2qDemu-ceN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOixrDYlPNVF5rOu3g11bkCYzKZwBlYrKuUnoqgEDyvQUS0QWjNiAXvEnkbS12_VKU88vRr6HYhbhxD2eLhmItSWzaf2BvOg58dhXQF7ycHSfeW_aQ6ifCr8li13OxxtCBc1RHKZbGevAFscqAmKyUPjJLq_K89fsoFBhZP_36vEGVTmcwnP3dsBeRE02NBqALyFpo4iim-Mx37XXHeDn-OA4uSg5-QLXFDKKelGgLwZMDkjDdamhTM0HC8r8kgaKi3e5RWn8ZnH9nlOgM2WvpF0q6boJPsNVirK5c5Mg1i50mdlN2gEiU4dX2I0g9MhMT4GQpAtEPpQM%3D&v=2	"
